M,one ,two,three,four,five,six,seven,eight,nine,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
426.7,157.49,195.04,12.82,11.04,11.04,16.93,27.34,22.08,27.34,41.35,453.61,453.61,1260,942,942,420,200,368.56,30
362.8,102.29,191.66,8.47,4.82,4.82,16.93,18.07,9.65,18.07,41.35,415.95,415.95,1260,679,679,420,200,362.17,30
298,67.01,188.62,6.95,2.14,2.14,16.93,12.03,4.27,12.03,41.35,415.95,415.95,1260,452,452,420,200,356.42,36.95
302.4,104.62,129.57,8.55,3.97,3.97,6.09,9.84,7.95,9.84,51.06,453.61,453.61,1260,628,628,280,200,367.27,30
276.4,68.09,127.76,6.95,1.73,1.73,6.09,6.49,3.46,6.49,51.06,415.95,415.95,1260,452,452,280,200,362.14,36.95
240.3,50.48,126.29,5.21,0.97,0.97,6.09,4.87,1.95,4.87,51.06,415.95,415.95,1260,339,339,280,200,357.97,36.95
451,157.49,195.04,12.82,8.94,8.94,13.71,22.14,17.88,22.14,51.06,453.61,453.61,1260,942,942,420,200,368.56,30
395.2,102.29,191.66,8.47,3.91,3.91,13.71,14.63,7.81,14.63,51.06,415.95,415.95,1260,679,679,420,200,362.17,30
342.1,67.01,188.62,6.95,1.73,1.73,13.71,9.74,3.46,9.74,51.06,415.95,415.95,1260,452,452,420,200,356.42,36.95
32.667,4.42,13.85,1.2,0.1,0.14,0.96,0.61,0.23,0.73,28.49,285.42,342.75,916.19,101,101,98.7,150,153.17,34.65
32.901,4.42,13.85,1.2,0.11,0.16,1.08,0.69,0.26,0.82,25.3,285.42,342.75,916.19,101,101,98.7,150,153.17,34.65
46.53,18.72,17.27,0.63,1.7,0.09,1.44,3.13,0.79,0.72,16.7,300,211.67,423.69,308,101,201.1,150.5,202.63,29.65
26.13,1.54,16.96,0.37,0.02,0.02,2.05,0.37,0.03,0.37,18.4,195,195,1068.03,57,57,115,200,138.12,33.5
25.07,1.54,16.96,0.37,0.02,0.02,2.05,0.37,0.03,0.37,18.4,195,195,1068.03,57,57,115,200,138.12,33.5
96.8625,40.98,43.43,0.9,3.02,0.15,3.39,6.4,1.34,1.42,22.54,460.4,361.86,1257.82,358.3,101,139,200,248.43,24.65
123.1125,67.85,44.14,0.9,8.01,0.15,3.39,10.42,2.18,1.42,22.54,457.46,361.86,1257.82,587.5,101,139,200,252.45,24.65
143.4825,121.11,44.92,0.9,24.65,0.15,3.39,18.28,3.82,1.42,22.54,602.89,361.86,1257.82,781.9,101,139,200,256.91,24.65
167.475,155.27,44.9,0.9,40.54,0.15,3.39,23.45,4.9,1.42,22.54,570.12,361.86,1257.82,1060.5,101,139,200,256.8,24.65
96.18,41.3,43.45,0.9,2.81,0.14,3.11,5.92,1.24,1.3,24.55,463.78,361.86,1257.82,358.3,101,139,200,248.52,24.65
120.3825,67.92,44.14,0.9,7.37,0.14,3.11,9.58,2,1.3,24.55,457.91,361.86,1257.82,587.5,101,139,200,252.46,24.65
138.0225,121.11,44.92,0.9,22.63,0.14,3.11,16.79,3.51,1.3,24.55,602.89,361.86,1257.82,781.9,101,139,200,256.91,24.65
162.9075,155.27,44.9,0.9,37.23,0.14,3.11,21.53,4.5,1.3,24.55,570.12,361.86,1257.82,1060.5,101,139,200,256.8,24.65
141.1725,22.32,83.22,0.9,0.98,0.15,13.56,7.28,0.76,2.83,22.54,452.48,361.86,1257.82,207.3,101,278,200,237.99,24.65
157.9725,39.65,84.53,0.9,2.98,0.15,13.56,12.72,1.33,2.83,22.54,457.82,361.86,1257.82,358.3,101,278,200,241.73,24.65
165.2175,55.19,85.42,0.9,5.66,0.15,13.56,17.52,1.83,2.83,22.54,470.19,361.86,1257.82,480.5,101,278,200,244.28,24.65
176.0535,37.83,120.98,0.9,2.98,0.15,30.51,19.09,1.33,4.25,22.54,457.82,361.86,1257.82,358.3,101,278,200,230.65,24.65
93.68625,40.74,43.42,0.9,3.06,0.15,3.48,6.53,1.36,1.45,21.97,457.82,361.86,1257.82,358.3,101,139,200,248.37,24.65
105.903,40.74,43.42,0.9,2.98,0.15,3.39,6.36,1.33,1.42,22.54,457.82,361.86,1257.82,358.3,101,139,200,248.37,24.65
117.858,106.06,0,4.13,9.94,2.3,0,0,9.56,0,11.15,353.33,407.5,0,942,393,0,500,318.65,25.8
53.3,37.32,0,0.88,0.88,0.07,0,0,0.5,0,25.6,289.42,289.42,0,402,113,0,300,320.8,26.95
19.89,14.4,0,0.82,0.46,0.09,0,0,0.41,0,22.59,330,330,0,226,101,0,270,193.05,24.65
89.25,66.07,0,3.58,2.1,0.62,0,0,2.28,0,20.24,293.33,212.5,0,628,471,0,400,358.65,35.8
252.3143,154.21,0,2.67,3.63,0.73,0,0,3.26,0,22.89,367.25,330,0,628,314,0,320,668.65,25.8
262.4514,154.21,0,2.67,3.38,0.68,0,0,3.04,0,24.6,367.25,330,0,628,314,0,320,668.65,25.8
291.5709,154.21,0,3,3.09,0.62,0,0,2.77,0,26.92,367.25,330,0,628,314,0,320,668.65,29
262.361,154.21,0,2.67,3.67,0.74,0,0,3.3,0,22.66,367.25,330,0,628,314,0,320,668.65,25.8
284.5352,154.21,0,2.67,3.17,0.64,0,0,2.85,0,26.22,367.25,330,0,628,314,0,320,668.65,25.8
93.075,102.36,0,2.06,3.53,0.36,0,0,2.25,0,26.99,343.33,258.33,0,804,340,0,400,370.8,23.5
163.2,21.24,100.49,2.03,0.3,0.33,6.65,2.81,0.63,2.96,31.2,330,250,1260,226,314,280,300,284.85,25.8
154.464,21.24,100.49,2.03,0.26,0.29,5.87,2.48,0.55,2.61,35.32,330,250,1260,226,314,280,300,284.85,25.8
46.2,7.15,35.01,4.19,0.04,0.64,0.98,0.4,0.32,1.59,56.97,356.58,356.58,1260,101,402,140,280,198.46,29.2
153.85,48.42,61.74,1.65,1.2,0.19,1.96,3.07,0.96,1.22,26.51,344.17,273.33,1260,402,201,140,300,350,30
298.35,57.39,178.47,1.65,1.86,0.19,17.96,11.55,1.2,3.73,25.99,368.33,273.33,1260,462,201,420,300,337.25,30
227.5,45.91,120,1.24,0.88,0.12,6,4.59,0.65,1.71,25.94,330,250,1260,409,201,280,400,340.14,24.65
48.975,47.12,0,0.65,2.87,0.15,0,0,1.31,0,16.46,396.42,362.25,0,452,113,0,340,263,16
125.025,64.2,51.41,0.61,3.31,0.04,2.12,5.3,0.72,0.58,24.65,417.15,201.67,1200,503,113,140,270,305.99,26.95
59.16,6.17,36.69,3.37,0.06,0.57,2.2,0.74,0.38,2.24,26.66,293.58,284.38,1260,101,316,140,265,208,37.5
45.45,51.37,0,2.19,2.05,0.48,0,0,1.98,0,19.14,348.33,206.31,0,509,415,0,400,289.75,25.53
266.763,44.81,128.05,3.47,0.89,0.6,7.29,5.1,1.46,4.17,23.14,328.33,295.83,1136.05,339,308,280,300,402.54,38.1
